{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.92, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998057, 'bestIteration': 158, 'bestNtreeLimit': 159, 'trainScore': 1.0000106506400104, 'theScore': 3.7959431935402755e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.76, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998001, 'bestIteration': 172, 'bestNtreeLimit': 173, 'trainScore': 1.0000155410498939, 'theScore': 4.027067558737747e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998, 'bestIteration': 138, 'bestNtreeLimit': 139, 'trainScore': 1.000011628660119, 'theScore': 4.02325732023812e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998058, 'bestIteration': 157, 'bestNtreeLimit': 158, 'trainScore': 1.0000107593532732, 'theScore': 3.7922586640565815e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997997, 'bestIteration': 156, 'bestNtreeLimit': 157, 'trainScore': 1.0000146717437786, 'theScore': 4.041396502788364e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.78, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997997, 'bestIteration': 131, 'bestNtreeLimit': 132, 'trainScore': 1.0000064121742394, 'theScore': 4.024852585001339e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.86, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998037, 'bestIteration': 174, 'bestNtreeLimit': 175, 'trainScore': 1.000023583521848, 'theScore': 3.899663453387929e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.98, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998058, 'bestIteration': 189, 'bestNtreeLimit': 190, 'trainScore': 1.0000233658101387, 'theScore': 3.816740403289414e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 1.0, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998007, 'bestIteration': 154, 'bestNtreeLimit': 155, 'trainScore': 1.0000103247217351, 'theScore': 3.992626170418188e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.9400000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998, 'bestIteration': 151, 'bestNtreeLimit': 152, 'trainScore': 1.0000118462628864, 'theScore': 4.0236925257728405e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.9, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998041, 'bestIteration': 156, 'bestNtreeLimit': 157, 'trainScore': 1.0000148892409189, 'theScore': 3.866849022960217e-06}
