{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 3.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998012, 'bestIteration': 146, 'bestNtreeLimit': 147, 'trainScore': 1.0000023910493998, 'theScore': 3.956897406206778e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 2.5, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.99797, 'bestIteration': 80, 'bestNtreeLimit': 81, 'trainScore': 1.0000170822195587, 'theScore': 4.155576905703964e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.5, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998047, 'bestIteration': 181, 'bestNtreeLimit': 182, 'trainScore': 1.0000171714979083, 'theScore': 3.847744935414749e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 4.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998005, 'bestIteration': 116, 'bestNtreeLimit': 117, 'trainScore': 1.0000006521231992, 'theScore': 3.981325985782317e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 1.5, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998039, 'bestIteration': 128, 'bestNtreeLimit': 129, 'trainScore': 1.000005760239301, 'theScore': 3.85681682926942e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 2.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998072, 'bestIteration': 145, 'bestNtreeLimit': 146, 'trainScore': 1.0000066295818792, 'theScore': 3.7299658338633463e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 3.5, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998049, 'bestIteration': 155, 'bestNtreeLimit': 156, 'trainScore': 1.0000015216176243, 'theScore': 3.8093696759852375e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 4.5, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997979, 'bestIteration': 129, 'bestNtreeLimit': 130, 'trainScore': 1.000000434754081, 'theScore': 4.0853196379978205e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 5.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.99795, 'bestIteration': 79, 'bestNtreeLimit': 80, 'trainScore': 0.9999885841033099, 'theScore': 4.1790974117853405e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 1.0, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 20, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998009, 'bestIteration': 149, 'bestNtreeLimit': 150, 'trainScore': 1.0000080423978652, 'theScore': 3.980093414149527e-06}
