{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.62, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998025, 'bestIteration': 178, 'bestNtreeLimit': 179, 'trainScore': 1.0000196714977214, 'theScore': 3.9394762079996e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.72, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997985, 'bestIteration': 124, 'bestNtreeLimit': 125, 'trainScore': 1.0000130417338517, 'theScore': 4.086504093711229e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.64, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997999, 'bestIteration': 141, 'bestNtreeLimit': 142, 'trainScore': 1.0000095640919568, 'theScore': 4.023138748005776e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.78, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998056, 'bestIteration': 152, 'bestNtreeLimit': 153, 'trainScore': 1.000013911488284, 'theScore': 3.806179933223888e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.68, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997964, 'bestIteration': 107, 'bestNtreeLimit': 108, 'trainScore': 1.0000243434231342, 'theScore': 4.1948592095013385e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997995, 'bestIteration': 157, 'bestNtreeLimit': 158, 'trainScore': 1.0000298876604308, 'theScore': 4.079949759163837e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.66, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998067, 'bestIteration': 205, 'bestNtreeLimit': 206, 'trainScore': 1.0000941169805722, 'theScore': 3.91841712344583e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.6, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998063, 'bestIteration': 198, 'bestNtreeLimit': 199, 'trainScore': 1.0000288004418416, 'theScore': 3.8077554558470762e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.76, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997995, 'bestIteration': 155, 'bestNtreeLimit': 156, 'trainScore': 1.000013693527186, 'theScore': 4.0474805220079546e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998073, 'bestIteration': 176, 'bestNtreeLimit': 177, 'trainScore': 1.0000192359023559, 'theScore': 3.7503965838397947e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.74, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.99801, 'bestIteration': 134, 'bestNtreeLimit': 135, 'trainScore': 1.00001293266326, 'theScore': 3.985835999887746e-06}
