{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.4, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997919, 'bestIteration': 176, 'bestNtreeLimit': 177, 'trainScore': 1.0001989625753172, 'theScore': 0.0020809999999999995}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.2, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.4, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997392, 'bestIteration': 391, 'bestNtreeLimit': 392, 'trainScore': 1.0002766056145602, 'theScore': 0.0026080000000000547}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997918, 'bestIteration': 160, 'bestNtreeLimit': 161, 'trainScore': 1.0001986684585333, 'theScore': 0.0020820000000000283}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997866, 'bestIteration': 229, 'bestNtreeLimit': 230, 'trainScore': 1.000212855457826, 'theScore': 0.0021339999999999693}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997906, 'bestIteration': 201, 'bestNtreeLimit': 202, 'trainScore': 1.0002044027348218, 'theScore': 0.0020940000000000403}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.2, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997351, 'bestIteration': 339, 'bestNtreeLimit': 340, 'trainScore': 1.000263981317168, 'theScore': 0.0026490000000000125}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.2, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997857, 'bestIteration': 235, 'bestNtreeLimit': 236, 'trainScore': 1.0002574501017516, 'theScore': 0.002143000000000006}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.6000000000000001, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997849, 'bestIteration': 265, 'bestNtreeLimit': 266, 'trainScore': 1.0002285871246612, 'theScore': 0.002151000000000014}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.2, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997892, 'bestIteration': 140, 'bestNtreeLimit': 141, 'trainScore': 1.0001978871813895, 'theScore': 0.0021079999999999988}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.4, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997829, 'bestIteration': 229, 'bestNtreeLimit': 230, 'trainScore': 1.0002157701634975, 'theScore': 0.002171000000000034}
{'alpha': 0.6, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.08, 'eval_metric': 'auc', 'gamma': 0.78, 'grow_policy': 'lossguide', 'lambda': 1.08, 'max_bin': 512, 'max_depth': 21, 'min_child_weight': 17.3, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.8, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.99787, 'bestIteration': 187, 'bestNtreeLimit': 188, 'trainScore': 1.0001999320093127, 'theScore': 0.0021299999999999653}
