{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.9, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.99801, 'bestIteration': 213, 'bestNtreeLimit': 214, 'trainScore': 1.000014888521531, 'theScore': 3.989728157846831e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.8, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998004, 'bestIteration': 128, 'bestNtreeLimit': 129, 'trainScore': 1.0000076078376539, 'theScore': 3.999201243957087e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.2, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.995402, 'bestIteration': 7, 'bestNtreeLimit': 8, 'trainScore': 0.9998065085035736, 'theScore': 2.025193009943112e-05}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.4, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997863, 'bestIteration': 150, 'bestNtreeLimit': 151, 'trainScore': 1.0000819468018571, 'theScore': 4.741889315568457e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 1.0, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997936, 'bestIteration': 134, 'bestNtreeLimit': 135, 'trainScore': 1.0000035864067511, 'theScore': 4.267498343534151e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997933, 'bestIteration': 100, 'bestNtreeLimit': 101, 'trainScore': 1.0000076073143076, 'theScore': 4.28821331867398e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.5, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997956, 'bestIteration': 151, 'bestNtreeLimit': 152, 'trainScore': 1.0000798802347215, 'theScore': 4.34121119977093e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.998032, 'bestIteration': 148, 'bestNtreeLimit': 149, 'trainScore': 1.0000196713114964, 'theScore': 3.911737141024762e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.30000000000000004, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.997804, 'bestIteration': 186, 'bestNtreeLimit': 187, 'trainScore': 1.000098466861269, 'theScore': 5.038649227346415e-06}
{'alpha': 0.0, 'booster': 'gbtree', 'colsample_bytree': 0.1, 'eta': 0.1, 'eval_metric': 'auc', 'gamma': 0.88, 'grow_policy': 'lossguide', 'max_bin': 512, 'max_depth': 22, 'min_child_weight': 15.7, 'nthread': -1, 'objective': 'binary:logistic', 'predictor': 'gpu_predictor', 'sampling_method': 'gradient_based', 'subsample': 0.84, 'tree_method': 'gpu_hist', 'verbosity': 1, 'bestValScore': 0.990702, 'bestIteration': 7, 'bestNtreeLimit': 8, 'trainScore': 0.9916796522876294, 'theScore': 9.090210970378853e-06}
