{'bestIteration': 79, 'colsample_bytree': 0.8, 'trainScore': 0.9999984575492674, 'eval_metric': 'auc', 'bestNtreeLimit': 80, 'verbosity': 1, 'bestValScore': 0.997435, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.575268613871126e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.4000000000000004, 'booster': 'gbtree'}
{'bestIteration': 79, 'colsample_bytree': 0.8, 'trainScore': 0.9999985688516784, 'eval_metric': 'auc', 'bestNtreeLimit': 80, 'verbosity': 1, 'bestValScore': 0.99757, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.901422309578652e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.75, 'booster': 'gbtree'}
{'bestIteration': 75, 'colsample_bytree': 0.8, 'trainScore': 0.9999980903358932, 'eval_metric': 'auc', 'bestNtreeLimit': 76, 'verbosity': 1, 'bestValScore': 0.997368, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.922397764070608e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 4.75, 'booster': 'gbtree'}
{'bestIteration': 105, 'colsample_bytree': 0.8, 'trainScore': 0.999998578895588, 'eval_metric': 'auc', 'bestNtreeLimit': 106, 'verbosity': 1, 'bestValScore': 0.997635, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.589864088065301e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 3.25, 'booster': 'gbtree'}
{'bestIteration': 113, 'colsample_bytree': 0.8, 'trainScore': 0.9999988993240606, 'eval_metric': 'auc', 'bestNtreeLimit': 114, 'verbosity': 1, 'bestValScore': 0.997685, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.3566769352001045e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.8500000000000001, 'booster': 'gbtree'}
{'bestIteration': 74, 'colsample_bytree': 0.8, 'trainScore': 0.9999984387947131, 'eval_metric': 'auc', 'bestNtreeLimit': 75, 'verbosity': 1, 'bestValScore': 0.997401, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.750743427459343e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 3.45, 'booster': 'gbtree'}
{'bestIteration': 29, 'colsample_bytree': 0.8, 'trainScore': 0.9999939507883366, 'eval_metric': 'auc', 'bestNtreeLimit': 30, 'verbosity': 1, 'bestValScore': 0.997177, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 7.952252075474443e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.0500000000000003, 'booster': 'gbtree'}
{'bestIteration': 81, 'colsample_bytree': 0.8, 'trainScore': 0.9999982082034357, 'eval_metric': 'auc', 'bestNtreeLimit': 82, 'verbosity': 1, 'bestValScore': 0.997515, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.1707723855374055e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.6, 'booster': 'gbtree'}
{'bestIteration': 62, 'colsample_bytree': 0.8, 'trainScore': 0.9999984392868968, 'eval_metric': 'auc', 'bestNtreeLimit': 63, 'verbosity': 1, 'bestValScore': 0.997467, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.412135713709634e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.9000000000000001, 'booster': 'gbtree'}
{'bestIteration': 68, 'colsample_bytree': 0.8, 'trainScore': 0.999998098129307, 'eval_metric': 'auc', 'bestNtreeLimit': 69, 'verbosity': 1, 'bestValScore': 0.997453, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.482364935344644e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 3.7, 'booster': 'gbtree'}
{'bestIteration': 111, 'colsample_bytree': 0.8, 'trainScore': 0.9999987685847872, 'eval_metric': 'auc', 'bestNtreeLimit': 112, 'verbosity': 1, 'bestValScore': 0.997712, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.232126521992918e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.9500000000000001, 'booster': 'gbtree'}
{'bestIteration': 122, 'colsample_bytree': 0.8, 'trainScore': 0.9999983604305354, 'eval_metric': 'auc', 'bestNtreeLimit': 123, 'verbosity': 1, 'bestValScore': 0.997634, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.594076778646564e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 4.65, 'booster': 'gbtree'}
{'bestIteration': 62, 'colsample_bytree': 0.8, 'trainScore': 0.999998219300222, 'eval_metric': 'auc', 'bestNtreeLimit': 63, 'verbosity': 1, 'bestValScore': 0.997443, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.533695750667906e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 3.95, 'booster': 'gbtree'}
{'bestIteration': 78, 'colsample_bytree': 0.8, 'trainScore': 0.9999985646596251, 'eval_metric': 'auc', 'bestNtreeLimit': 79, 'verbosity': 1, 'bestValScore': 0.997309, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 7.237618499051168e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.30000000000000004, 'booster': 'gbtree'}
{'bestIteration': 77, 'colsample_bytree': 0.8, 'trainScore': 0.9999983408186008, 'eval_metric': 'auc', 'bestNtreeLimit': 78, 'verbosity': 1, 'bestValScore': 0.997406, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.724532083450501e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 4.15, 'booster': 'gbtree'}
{'bestIteration': 113, 'colsample_bytree': 0.8, 'trainScore': 0.9999988993240606, 'eval_metric': 'auc', 'bestNtreeLimit': 114, 'verbosity': 1, 'bestValScore': 0.997685, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.3566769352001045e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.8500000000000001, 'booster': 'gbtree'}
{'bestIteration': 163, 'colsample_bytree': 0.8, 'trainScore': 0.9999989070851056, 'eval_metric': 'auc', 'bestNtreeLimit': 164, 'verbosity': 1, 'bestValScore': 0.997772, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 4.961548985615394e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.0, 'booster': 'gbtree'}
{'bestIteration': 80, 'colsample_bytree': 0.8, 'trainScore': 0.9999986767425204, 'eval_metric': 'auc', 'bestNtreeLimit': 81, 'verbosity': 1, 'bestValScore': 0.997403, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.740972500325297e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.9500000000000002, 'booster': 'gbtree'}
{'bestIteration': 118, 'colsample_bytree': 0.8, 'trainScore': 0.9999984453849068, 'eval_metric': 'auc', 'bestNtreeLimit': 119, 'verbosity': 1, 'bestValScore': 0.99757, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 5.901122285323702e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.5, 'booster': 'gbtree'}
{'bestIteration': 140, 'colsample_bytree': 0.8, 'trainScore': 0.9999984698544174, 'eval_metric': 'auc', 'bestNtreeLimit': 141, 'verbosity': 1, 'bestValScore': 0.997816, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 4.766514162047501e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.6500000000000004, 'booster': 'gbtree'}
{'bestIteration': 35, 'colsample_bytree': 0.8, 'trainScore': 0.9999954917660715, 'eval_metric': 'auc', 'bestNtreeLimit': 36, 'verbosity': 1, 'bestValScore': 0.997356, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.978816229492934e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.05, 'booster': 'gbtree'}
{'bestIteration': 23, 'colsample_bytree': 0.8, 'trainScore': 0.9999880722237842, 'eval_metric': 'auc', 'bestNtreeLimit': 24, 'verbosity': 1, 'bestValScore': 0.996235, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 1.4130316922547513e-05, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.4000000000000001, 'booster': 'gbtree'}
{'bestIteration': 94, 'colsample_bytree': 0.8, 'trainScore': 0.9999985953061414, 'eval_metric': 'auc', 'bestNtreeLimit': 95, 'verbosity': 1, 'bestValScore': 0.997412, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.694108652294215e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 2.95, 'booster': 'gbtree'}
{'bestIteration': 70, 'colsample_bytree': 0.8, 'trainScore': 0.9999985578688089, 'eval_metric': 'auc', 'bestNtreeLimit': 71, 'verbosity': 1, 'bestValScore': 0.997394, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 6.787477806115896e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 1.5, 'booster': 'gbtree'}
{'bestIteration': 151, 'colsample_bytree': 0.8, 'trainScore': 0.9999990163704826, 'eval_metric': 'auc', 'bestNtreeLimit': 152, 'verbosity': 1, 'bestValScore': 0.99777, 'nthread': -1, 'min_child_weight': 1.8, 'max_depth': 22, 'theScore': 4.97070650617601e-06, 'subsample': 0.8, 'eta': 0.1, 'sampling_method': 'uniform', 'objective': 'binary:logistic', 'tree_method': 'exact', 'predictor': 'cpu_predictor', 'gamma': 0.5, 'booster': 'gbtree'}
