************************************************************************************************************************************************

2020-09-12 19:08:19
Starting photon ID training BDT

featFilePath	=	dataV2/mergedSamples.root
featTreeName	=	fullEBTree
indexFilePath	=	dataV2/mergedSamplesShuffledIndices.root
indexTreeName	=	randomized_split
saveDir		=	trainingV2/
logFile		=	trainingV2//trainingLog_2020_09_12_19_08_19.log

BDT input features (15) :
['pho2x2OE3x3Full5x5', 'phoE1x3OESCrFull5x5', 'phoE2ndOESCrFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']

Training with params:
{'objective': 'binary:logistic', 'eval_metric': 'auc', 'booster': 'gbtree', 'sampling_method': 'gradient_based', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'verbosity': 1, 'nthread': -1, 'seed': 6623853, 'scale_pos_weight': 1.0, 'max_depth': 4, 'min_child_weight': 5140, 'alpha': 572.9, 'lambda': 18.0, 'gamma': 87.45, 'subsample': 0.28, 'colsample_bytree': 0.67, 'eta': 0.0395}



Total data:
Total Events	=	61970811 (B/S= 51775921 / 10194890)
BackgroundSumW/SignalSumW 	=	269189226389.518951 / 53004456496.799980	=	5.078615

Training data:
Total Events	=	24782828 (B/S= 20704871 / 4077957)
BackgroundSumW/SignalSumW 	=	107648148835.787308 / 21429305093.572678	=	5.023408

Validation data:
Total Events	=	18597782 (B/S= 15539211 / 3058571)
BackgroundSumW/SignalSumW 	=	80802652594.335159 / 15699627885.225983	=	5.146788

Test data:
Total Events	=	18590201 (B/S= 15531839 / 3058362)
[116]	train-auc:0.99374	test-auc:0.99346	validation-auc:0.99343
[117]	train-auc:0.99376	test-auc:0.99348	validation-auc:0.99344
[118]	train-auc:0.99379	test-auc:0.99352	validation-auc:0.99348
[119]	train-auc:0.99381	test-auc:0.99353	validation-auc:0.99349
[120]	train-auc:0.99382	test-auc:0.99354	validation-auc:0.99350
[121]	train-auc:0.99385	test-auc:0.99358	validation-auc:0.99353
[122]	train-auc:0.99387	test-auc:0.99360	validation-auc:0.99355
[123]	train-auc:0.99389	test-auc:0.99362	validation-auc:0.99357
[124]	train-auc:0.99391	test-auc:0.99364	validation-auc:0.99359
[125]	train-auc:0.99392	test-auc:0.99365	validation-auc:0.99360
[126]	train-auc:0.99393	test-auc:0.99366	validation-auc:0.99361
[127]	train-auc:0.99394	test-auc:0.99367	validation-auc:0.99363
[128]	train-auc:0.99395	test-auc:0.99368	validation-auc:0.99364
[129]	train-auc:0.99396	test-auc:0.99369	validation-auc:0.99364
[130]	train-auc:0.99396	test-auc:0.99369	validation-auc:0.99365
[131]	train-auc:0.99397	test-auc:0.99370	validation-auc:0.99366
[132]	train-auc:0.99398	test-auc:0.99372	validation-auc:0.99367
[133]	train-auc:0.99400	test-auc:0.99372	validation-auc:0.99368
[134]	train-auc:0.99402	test-auc:0.99374	validation-auc:0.99369
[135]	train-auc:0.99403	test-auc:0.99375	validation-auc:0.99371
[136]	train-auc:0.99405	test-auc:0.99378	validation-auc:0.99373
[137]	train-auc:0.99407	test-auc:0.99381	validation-auc:0.99376
[138]	train-auc:0.99407	test-auc:0.99381	validation-auc:0.99376
[139]	train-auc:0.99408	test-auc:0.99382	validation-auc:0.99377
[140]	train-auc:0.99409	test-auc:0.99383	validation-auc:0.99378
[141]	train-auc:0.99411	test-auc:0.99384	validation-auc:0.99379
[142]	train-auc:0.99412	test-auc:0.99385	validation-auc:0.99380
[143]	train-auc:0.99413	test-auc:0.99387	validation-auc:0.99382
[144]	train-auc:0.99414	test-auc:0.99388	validation-auc:0.99382
[145]	train-auc:0.99416	test-auc:0.99389	validation-auc:0.99384
[146]	train-auc:0.99417	test-auc:0.99390	validation-auc:0.99385
[147]	train-auc:0.99418	test-auc:0.99391	validation-auc:0.99386
[148]	train-auc:0.99421	test-auc:0.99393	validation-auc:0.99388
[149]	train-auc:0.99422	test-auc:0.99394	validation-auc:0.99389
[150]	train-auc:0.99423	test-auc:0.99395	validation-auc:0.99389
[151]	train-auc:0.99425	test-auc:0.99397	validation-auc:0.99391
[152]	train-auc:0.99426	test-auc:0.99398	validation-auc:0.99392
[153]	train-auc:0.99426	test-auc:0.99399	validation-auc:0.99393
[154]	train-auc:0.99429	test-auc:0.99401	validation-auc:0.99395
[155]	train-auc:0.99429	test-auc:0.99402	validation-auc:0.99396
[156]	train-auc:0.99431	test-auc:0.99404	validation-auc:0.99398
[157]	train-auc:0.99432	test-auc:0.99405	validation-auc:0.99399
[158]	train-auc:0.99433	test-auc:0.99406	validation-auc:0.99400
[159]	train-auc:0.99436	test-auc:0.99409	validation-auc:0.99402
[160]	train-auc:0.99436	test-auc:0.99409	validation-auc:0.99402
[161]	train-auc:0.99439	test-auc:0.99412	validation-auc:0.99405
[162]	train-auc:0.99440	test-auc:0.99413	validation-auc:0.99406
[163]	train-auc:0.99441	test-auc:0.99414	validation-auc:0.99407
[164]	train-auc:0.99442	test-auc:0.99415	validation-auc:0.99408
[165]	train-auc:0.99443	test-auc:0.99416	validation-auc:0.99409
[166]	train-auc:0.99444	test-auc:0.99416	validation-auc:0.99409
[167]	train-auc:0.99445	test-auc:0.99417	validation-auc:0.99411
[168]	train-auc:0.99445	test-auc:0.99418	validation-auc:0.99411
[169]	train-auc:0.99446	test-auc:0.99418	validation-auc:0.99412
[170]	train-auc:0.99447	test-auc:0.99420	validation-auc:0.99413
[171]	train-auc:0.99448	test-auc:0.99420	validation-auc:0.99414
[172]	train-auc:0.99449	test-auc:0.99421	validation-auc:0.99415
[173]	train-auc:0.99451	test-auc:0.99423	validation-auc:0.99416
[174]	train-auc:0.99451	test-auc:0.99423	validation-auc:0.99417
[175]	train-auc:0.99453	test-auc:0.99425	validation-auc:0.99419
[176]	train-auc:0.99454	test-auc:0.99426	validation-auc:0.99420
[177]	train-auc:0.99455	test-auc:0.99427	validation-auc:0.99420
[178]	train-auc:0.99457	test-auc:0.99428	validation-auc:0.99422
[179]	train-auc:0.99457	test-auc:0.99429	validation-auc:0.99423
[180]	train-auc:0.99458	test-auc:0.99430	validation-auc:0.99423
[181]	train-auc:0.99459	test-auc:0.99430	validation-auc:0.99424
[182]	train-auc:0.99460	test-auc:0.99431	validation-auc:0.99425
[183]	train-auc:0.99460	test-auc:0.99431	validation-auc:0.99425
[184]	train-auc:0.99461	test-auc:0.99432	validation-auc:0.99426
[185]	train-auc:0.99462	test-auc:0.99433	validation-auc:0.99427
[186]	train-auc:0.99463	test-auc:0.99434	validation-auc:0.99428
[187]	train-auc:0.99464	test-auc:0.99434	validation-auc:0.99428
[188]	train-auc:0.99465	test-auc:0.99435	validation-auc:0.99429
[189]	train-auc:0.99466	test-auc:0.99436	validation-auc:0.99430
[190]	train-auc:0.99466	test-auc:0.99436	validation-auc:0.99430
[191]	train-auc:0.99467	test-auc:0.99437	validation-auc:0.99431
[192]	train-auc:0.99468	test-auc:0.99438	validation-auc:0.99432
[193]	train-auc:0.99469	test-auc:0.99438	validation-auc:0.99433
[194]	train-auc:0.99470	test-auc:0.99439	validation-auc:0.99433
[195]	train-auc:0.99471	test-auc:0.99439	validation-auc:0.99434
[196]	train-auc:0.99472	test-auc:0.99441	validation-auc:0.99436
[197]	train-auc:0.99473	test-auc:0.99442	validation-auc:0.99436
[198]	train-auc:0.99474	test-auc:0.99442	validation-auc:0.99437
[199]	train-auc:0.99475	test-auc:0.99443	validation-auc:0.99438
[200]	train-auc:0.99475	test-auc:0.99443	validation-auc:0.99438
[201]	train-auc:0.99477	test-auc:0.99445	validation-auc:0.99439
