95, 0, 0.5, 0.05404, 0.001318
90, 0, 0.5, 0.046164, 0.001556
85, 0, 0.5, 0.038524, 0.001786
80, 0, 0.5, 0.034121, 0.001979
75, 0, 0.5, 0.030059, 0.002136
70, 0, 0.5, 0.02673, 0.002263
95, 0.5, 1, 0.059984, 0.001341
90, 0.5, 1, 0.044661, 0.001594
85, 0.5, 1, 0.038912, 0.001832
80, 0.5, 1, 0.034034, 0.002029
75, 0.5, 1, 0.029602, 0.002191
70, 0.5, 1, 0.027071, 0.002321
95, 1, 1.2, 0.05549, 0.002065
90, 1, 1.2, 0.049045, 0.00237
85, 1, 1.2, 0.03885, 0.002706
80, 1, 1.2, 0.033324, 0.002991
75, 1, 1.2, 0.0283, 0.003228
70, 1, 1.2, 0.02378, 0.00342
95, 1.2, 1.479, 0.057484, 0.001962
90, 1.2, 1.479, 0.040798, 0.002319
85, 1.2, 1.479, 0.0364, 0.002661
80, 1.2, 1.479, 0.032818, 0.00295
75, 1.2, 1.479, 0.028991, 0.003186
70, 1.2, 1.479, 0.025734, 0.003376
95, 0, 1, 0.057089, 0.000942
90, 0, 1, 0.045376, 0.00112
85, 0, 1, 0.038802, 0.001287
80, 0, 1, 0.034115, 0.001426
75, 0, 1, 0.029816, 0.00154
70, 0, 1, 0.026901, 0.001632
95, 1, 1.479, 0.056384, 0.00143
90, 1, 1.479, 0.044583, 0.001683
85, 1, 1.479, 0.037481, 0.00193
80, 1, 1.479, 0.032869, 0.002138
75, 1, 1.479, 0.028381, 0.002309
70, 1, 1.479, 0.024673, 0.002447
