95, 0, 0.5, 0.054368, 0.002064
90, 0, 0.5, 0.05165, 0.001681
85, 0, 0.5, 0.04292, 0.001805
80, 0, 0.5, 0.040675, 0.001962
75, 0, 0.5, 0.031023, 0.002111
70, 0, 0.5, 0.027967, 0.00224
95, 0.5, 1, 0.054073, 0.001565
90, 0.5, 1, 0.05896, 0.001375
85, 0.5, 1, 0.048567, 0.001484
80, 0.5, 1, 0.042521, 0.001613
75, 0.5, 1, 0.034498, 0.001733
70, 0.5, 1, 0.02836, 0.001836
95, 1, 1.2, 0.063973, 0.00273
90, 1, 1.2, 0.072901, 0.002111
85, 1, 1.2, 0.066146, 0.002164
80, 1, 1.2, 0.060792, 0.002302
75, 1, 1.2, 0.054871, 0.002442
70, 1, 1.2, 0.04795, 0.002573
95, 1.2, 1.479, 0.094924, 0.002333
90, 1.2, 1.479, 0.090941, 0.001926
85, 1.2, 1.479, 0.078405, 0.001957
80, 1.2, 1.479, 0.073774, 0.002054
75, 1.2, 1.479, 0.066601, 0.002161
70, 1.2, 1.479, 0.058681, 0.002263
95, 0, 1, 0.050856, 0.001267
90, 0, 1, 0.054722, 0.001084
85, 0, 1, 0.046336, 0.00117
80, 0, 1, 0.040332, 0.001274
75, 0, 1, 0.034823, 0.00137
70, 0, 1, 0.027225, 0.001453
95, 1, 1.479, 0.083423, 0.001774
90, 1, 1.479, 0.083969, 0.001424
85, 1, 1.479, 0.073904, 0.001454
80, 1, 1.479, 0.068191, 0.001534
75, 1, 1.479, 0.060964, 0.00162
70, 1, 1.479, 0.055009, 0.001703
