95, 0, 0.5, 0.133563, 0.000834
90, 0, 0.5, 0.115696, 0.00078
85, 0, 0.5, 0.104265, 0.000801
80, 0, 0.5, 0.095453, 0.000837
75, 0, 0.5, 0.088593, 0.000875
70, 0, 0.5, 0.082627, 0.000911
95, 0.5, 1, 0.135733, 0.000857
90, 0.5, 1, 0.119743, 0.000851
85, 0.5, 1, 0.107594, 0.000898
80, 0.5, 1, 0.100462, 0.000949
75, 0.5, 1, 0.093824, 0.000997
70, 0.5, 1, 0.087931, 0.00104
95, 1, 1.2, 0.124014, 0.001516
90, 1, 1.2, 0.111511, 0.001388
85, 1, 1.2, 0.102072, 0.0014
80, 1, 1.2, 0.095829, 0.001455
75, 1, 1.2, 0.09099, 0.001515
70, 1, 1.2, 0.087069, 0.001573
95, 1.2, 1.479, 0.107939, 0.001314
90, 1.2, 1.479, 0.098722, 0.001174
85, 1.2, 1.479, 0.094217, 0.001186
80, 1.2, 1.479, 0.087472, 0.001223
75, 1.2, 1.479, 0.082465, 0.001271
70, 1.2, 1.479, 0.077821, 0.001319
95, 0, 1, 0.134851, 0.000595
90, 0, 1, 0.117432, 0.00058
85, 0, 1, 0.105901, 0.000609
80, 0, 1, 0.097951, 0.000642
75, 0, 1, 0.091165, 0.000674
70, 0, 1, 0.085226, 0.000704
95, 1, 1.479, 0.115537, 0.000982
90, 1, 1.479, 0.104626, 0.000899
85, 1, 1.479, 0.097768, 0.000918
80, 1, 1.479, 0.091641, 0.000955
75, 1, 1.479, 0.086883, 0.000997
70, 1, 1.479, 0.081855, 0.001036
