************************************************************************************************************************************************

2020-09-10 23:04:13
Starting photon ID training BDT

featFilePath	=	dataV2/mergedSamples.root
featTreeName	=	fullEBTree
indexFilePath	=	dataV2/mergedSamplesShuffledIndices.root
indexTreeName	=	randomized_split
saveDir		=	training/
logFile		=	training//trainingLog_2020_09_10_23_04_13.log

BDT input features (18) :
['pho2x2OE3x3Full5x5', 'phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']

Training with params:
{'objective': 'binary:logistic', 'eval_metric': 'auc', 'booster': 'gbtree', 'sampling_method': 'gradient_based', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'verbosity': 1, 'nthread': -1, 'seed': 5689865, 'scale_pos_weight': 0.96, 'max_depth': 6, 'min_child_weight': 6521, 'alpha': 546, 'lambda': 41.6, 'gamma': 28.0, 'subsample': 0.29, 'colsample_bytree': 0.66, 'eta': 0.0466}



Total data:
Total Events	=	61970811 (B/S= 51775921 / 10194890)
BackgroundSumW/SignalSumW 	=	269189226389.518951 / 53004456496.799980	=	5.078615

Training data:
Total Events	=	24782828 (B/S= 20704871 / 4077957)
BackgroundSumW/SignalSumW 	=	107648148835.786835 / 21429305093.572662	=	5.023408

Validation data:
Total Events	=	18597782 (B/S= 15539211 / 3058571)
BackgroundSumW/SignalSumW 	=	80802652594.335129 / 15699627885.225969	=	5.146788

Test data:
Total Events	=	18590201 (B/S= 15531839 / 3058362)
[115]	train-auc:0.99580	test-auc:0.99526	validation-auc:0.99514
[116]	train-auc:0.99581	test-auc:0.99528	validation-auc:0.99516
[117]	train-auc:0.99582	test-auc:0.99528	validation-auc:0.99516
[118]	train-auc:0.99582	test-auc:0.99528	validation-auc:0.99516
[119]	train-auc:0.99583	test-auc:0.99529	validation-auc:0.99517
[120]	train-auc:0.99584	test-auc:0.99530	validation-auc:0.99518
[121]	train-auc:0.99585	test-auc:0.99530	validation-auc:0.99518
[122]	train-auc:0.99585	test-auc:0.99531	validation-auc:0.99519
[123]	train-auc:0.99586	test-auc:0.99532	validation-auc:0.99520
[124]	train-auc:0.99588	test-auc:0.99533	validation-auc:0.99521
[125]	train-auc:0.99589	test-auc:0.99533	validation-auc:0.99521
[126]	train-auc:0.99589	test-auc:0.99534	validation-auc:0.99522
[127]	train-auc:0.99590	test-auc:0.99534	validation-auc:0.99522
[128]	train-auc:0.99592	test-auc:0.99536	validation-auc:0.99524
[129]	train-auc:0.99592	test-auc:0.99536	validation-auc:0.99524
[130]	train-auc:0.99593	test-auc:0.99537	validation-auc:0.99525
[131]	train-auc:0.99593	test-auc:0.99537	validation-auc:0.99526
[132]	train-auc:0.99595	test-auc:0.99538	validation-auc:0.99527
[133]	train-auc:0.99596	test-auc:0.99540	validation-auc:0.99528
[134]	train-auc:0.99597	test-auc:0.99540	validation-auc:0.99530
[135]	train-auc:0.99598	test-auc:0.99542	validation-auc:0.99531
[136]	train-auc:0.99599	test-auc:0.99543	validation-auc:0.99532
[137]	train-auc:0.99601	test-auc:0.99544	validation-auc:0.99533
[138]	train-auc:0.99602	test-auc:0.99545	validation-auc:0.99534
[139]	train-auc:0.99602	test-auc:0.99545	validation-auc:0.99534
[140]	train-auc:0.99603	test-auc:0.99546	validation-auc:0.99535
[141]	train-auc:0.99604	test-auc:0.99547	validation-auc:0.99536
[142]	train-auc:0.99605	test-auc:0.99547	validation-auc:0.99536
[143]	train-auc:0.99606	test-auc:0.99548	validation-auc:0.99537
